X,Y,Class,NEA
398361.674671618,-281400.182227588,"7",
405184.924935271,-279398.695483583,"7",
412190.128539289,-281309.205557406,"7",
412735.988560381,-287859.525810513,"7",
406958.970003821,-291271.15094234,"7",
418967.890467851,-291453.104282704,"7",
416920.915388755,-284402.412343596,"7",
418649.472122214,-276942.325388668,"7",
412735.988560381,-272029.585198838,"7",
406640.551658184,-272211.538539202,"7",
398270.698001436,-262522.523164814,"7",
402319.159824537,-260975.919771719,"7",
412372.081879653,-263204.84819118,"7",
265217.317860198,-226154.599259542,"2",
305770.168593843,-239437.193106121,"2",
238879.571842496,-161515.675095201,"3",
317534.589256759,-186011.143541716,"3",
266604.712080474,-151491.183249517,"4",
297673.244947641,-194989.403680306,"4",
295728.6186225,-201175.817252685,"4",
216669.892234305,-178522.626377356,"4",
232317.879505616,-199629.21385959,"4",
239141.129769269,-223919.984798196,"4",
311763.256742085,-254624.610984635,"4",
318359.065330283,-254237.960136362,"4",
252469.211950939,-132920.570448607,"5",
228951.742708881,-139379.914031532,"5",
225767.559252509,-164853.381682504,"5",
258337.207177681,-173951.048700709,"5",
236411.829663808,-188598.292600018,"5",
291179.785113398,-173951.048700709,"5",
275622.774512269,-184686.29578219,"5",
262158.227325326,-205519.953253878,"5",
240050.89647109,-212252.226847349,"5",
277897.19126682,-221895.753886645,"5",
279807.701340643,-231357.327585578,"5",
315652.509392368,-169129.28518106,"5",
339215.466969517,-182957.739048731,"5",
329571.93993022,-209431.950071706,"5",
325932.873122939,-223988.217300832,"5",
306736.795714527,-219621.337132094,"5",
327661.429856397,-246914.338186707,"5",
326478.733144031,-234905.417722678,"6",
315652.509392368,-237998.624508867,"6",
289815.135060667,-232358.07095758,"6",
310284.885851627,-207066.556646972,"6",
329480.963260038,-196604.239576037,"6",
292453.458495947,-216892.037026633,"6",
280990.398053009,-201698.933106232,"6",
256244.743763493,-189417.082631656,"6",
236047.92298308,-179409.648911631,"6",
275713.751182451,-154573.017951934,"6",
250058.330191115,-140835.540754445,"6",
219035.285659038,-149660.277762103,"6",
227678.069326332,-124368.763451495,"7",
235684.016302352,-125278.530153316,"7",
222947.282476866,-131192.013715148,"7",
231499.089473978,-132920.570448607,"7",
221946.539104863,-144110.700880999,"7",
224948.76922087,-149114.417741011,"7",
229406.626059791,-147749.76768828,"7",
235320.109621623,-143382.887519542,"7",
240960.66317291,-135922.800564615,"7",
245054.613331102,-124550.716791859,"7",
255516.930402037,-123640.950090039,"7",
263704.830718421,-131737.873736241,"7",
268344.640897705,-137651.357298074,"7",
259610.880560229,-137105.497276981,"7",
258064.277167134,-144929.490912637,"7",
265069.480771152,-146476.094305732,"7",
259337.950549683,-153572.274579931,"7",
264614.597420241,-159212.828131218,"7",
279443.794659914,-161123.338205041,"7",
281718.211414465,-154209.111271205,"7",
272529.567726079,-148022.697698826,"7",
246419.263383833,-147840.744358462,"7",
251059.073563117,-157666.224738123,"7",
243417.033267825,-155846.691334482,"7",
244508.75331001,-163397.754959592,"7",
248511.72679802,-167218.775107238,"7",
242598.243236187,-171949.561956704,"7",
237412.57303581,-170948.818584701,"7",
235865.969642716,-157484.271397759,"7",
228496.85935797,-155209.854643208,"7",
219308.215669584,-159303.8048014,"7",
216033.05554303,-165217.288363233,"7",
216851.845574669,-168856.355170514,"7",
230862.252782703,-170130.028553063,"7",
208118.085237193,-174405.932051619,"7",
209391.758619741,-182320.902357457,"7",
218125.518957217,-183139.692389095,"7",
222947.282476866,-187233.642547287,"7",
227041.232635058,-178863.788890539,"7",
224948.769220871,-174314.955381437,"7",
230680.299442339,-186141.922505103,"7",
226313.419273601,-191691.499386207,"7",
248420.750127838,-190235.872663294,"7",
246874.146734743,-186050.94583492,"7",
244781.683320556,-180046.485602906,"7",
222674.352466319,-197241.076267312,"7",
229315.649389609,-203700.419850237,"7",
234865.226270713,-206611.673296062,"7",
240596.756492182,-200789.166404411,"7",
246510.240054015,-195239.589523307,"7",
237958.433056903,-195057.636182943,"7",
255607.907072219,-184595.319112008,"7",
252150.793605301,-178681.835550175,"7",
252059.816935119,-172586.398647978,"7",
253697.396998396,-165763.148384325,"7",
262067.250655144,-165763.148384325,"7",
268344.640897705,-175770.58210435,"7",
237139.643025264,-230993.42090485,"7",
227814.534331605,-231175.374245214,"7",
229452.114394882,-221622.823876099,"7",
238504.293077995,-217437.897047725,"7",
246737.68172947,-221440.870535735,"7",
247510.983426017,-224988.960672835,"7",
253242.513647486,-222168.683897192,"7",
245691.450022376,-215208.968628265,"7",
250058.330191114,-211524.413485892,"7",
251832.375259664,-205792.883264424,"7",
245054.613331102,-204109.814866056,"7",
231635.554479251,-212798.086868441,"7",
260793.577272596,-211433.43681571,"7",
255198.5120564,-208158.276689157,"7",
257700.370486406,-200470.748058774,"7",
254834.605375672,-194375.311156577,"7",
266297.665818609,-195012.147847852,"7",
272575.05606117,-199470.004686772,"7",
265387.899116789,-182002.484011819,"7",
269299.895934617,-187370.10755256,"7",
275804.727852633,-192282.84774239,"7",
283810.674828653,-191009.174359842,"7",
281627.234744283,-180774.298964362,"7",
275577.286177178,-177635.603843081,"7",
288268.531667573,-182730.297373276,"7",
291998.575145036,-179136.718901085,"7",
296501.920319048,-177453.650502717,"7",
299686.103775419,-169766.121872335,"7",
291953.086809945,-163807.149975411,"7",
285175.324881383,-171267.236930338,"7",
254698.140370399,-226126.16905011,"7",
258064.277167134,-229310.352506482,"7",
